Reproduction, 	 Crossover, 	 Mutation, 	 Sigma, 	 Earliest, 	 Average (.25), 	 Standard Deviation (.25), 	 Average (.1), 	 Standard Deviation (.1) 
18, 	 70, 	 10, 	 5, 	 5, 	 15, 	 11.40175425099138, 	29.2, 	14.147791347061915
18, 	 70, 	 15, 	 1, 	 6, 	 26.2, 	 14.386104406683556, 	41.6, 	15.81897594662815
18, 	 70, 	 15, 	 2, 	 6, 	 10.6, 	 5.122499389946279, 	36.2, 	17.13942822850284
18, 	 70, 	 15, 	 3, 	 8, 	 11.4, 	 2.0591260281974, 	23.4, 	8.5463442476886
18, 	 70, 	 15, 	 4, 	 5, 	 9.2, 	 3.7094473981982814, 	14.8, 	9.346657156438338
18, 	 70, 	 15, 	 5, 	 5, 	 8.8, 	 4.261455150532504, 	13.8, 	4.069397989875161
18, 	 76, 	 5, 	 1, 	 4, 	 5, 	 0.8944271909999159, 	35.8, 	16.314410807626487
18, 	 76, 	 5, 	 2, 	 4, 	 8.8, 	 4.166533331199932, 	25.8, 	18.669761648183943
18, 	 76, 	 5, 	 3, 	 6, 	 19.8, 	 12.905812643921342, 	36, 	15.349267083479914
18, 	 76, 	 5, 	 4, 	 6, 	 24.6, 	 20.76150283577757, 	27.8, 	18.74459922217597
18, 	 76, 	 5, 	 5, 	 3, 	 7, 	 2.3664319132398464, 	20.8, 	11.513470371699404
18, 	 76, 	 10, 	 1, 	 1, 	 7, 	 3.1622776601683795, 	21.2, 	15.380507143784303
